method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_dsls_epoch,selected_csda_epoch,selected_icdm_epoch,threshold_hc,dsls_singular1,dsls_singular2,dsls_singular3,dsls_shared_energy_fraction,dsls_asd_score_mean,dsls_asd_score_std,dsls_hc_score_mean,dsls_hc_score_std,dsls_std_floor,dsls_parameter_l2,dsls_mean_abs_delta,csda_num_sites,csda_cross_site_positive_pairs,csda_cross_site_same_y_cos,csda_same_site_same_y_cos,csda_opposite_y_cos,csda_site_retrieval_accuracy,csda_profile_std_floor,csda_projection_l2,csda_head_l2,csda_mean_abs_delta,icdm_mean_abs_roi_prompt,icdm_mean_abs_edge_log_gate,icdm_mean_edge_factor,icdm_std_edge_factor,icdm_factor_min,icdm_factor_max,icdm_fraction_gt1,icdm_mean_abs_fc_change,icdm_down_l2,icdm_up_l2,task_seconds,n_test,status
csda,internal_fold,3,5,0.764919564089258,0.5799716777766007,0.6666666666666666,0.7156201349247535,30.0,45.0,nan,119.0,nan,0.411013126373291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206734.0,0.07249289005994797,0.09265874326229095,-0.06112350896000862,0.3724035620689392,0.0012803462333977223,8.134369850158691,0.8197966814041138,0.24061284959316254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,580.7573232650757,88,PASS
icdm,internal_fold,3,5,0.7810067462376752,0.567794989526611,0.6835443037974684,0.726258432797094,30.0,45.0,nan,nan,9.0,0.3851131200790405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006311545614153147,0.006267224438488483,1.006310224533081,0.009857096709311008,0.9661601781845093,1.067590594291687,0.9693477153778076,0.0011314908042550087,5.650200366973877,0.7052301168441772,580.7573232650757,88,PASS
baseline,internal_fold,3,6,0.7597301504929943,0.5888549228272306,0.6521739130434782,0.63622210690192,28.0,23.0,nan,nan,nan,0.4714936316013336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1119.800096988678,88,PASS
dsls,internal_fold,3,6,0.7586922677737415,0.5857530577852542,0.6881720430107526,0.6696938245978205,28.0,23.0,149.0,nan,nan,0.48567551374435425,862.598388671875,733.8992309570312,638.98095703125,0.05581028386950493,0.1901601105928421,1.2470940351486206,6.608531748497626e-07,0.999981701374054,0.01856506019830704,2.4435904026031494,0.13238295912742615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1119.800096988678,88,PASS
csda,internal_fold,3,6,0.7669953295277633,0.5841124719878857,0.6595744680851063,0.634665282823041,28.0,23.0,nan,63.0,nan,0.46951422095298767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,206596.0,0.026284176856279373,0.043932124972343445,-0.017837246879935265,0.25964391231536865,0.0012819719500839712,7.945003986358643,0.3525007665157318,0.0731029361486435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1119.800096988678,88,PASS
icdm,internal_fold,3,6,0.7602490918526207,0.5847264496426752,0.6521739130434782,0.63622210690192,28.0,23.0,nan,nan,149.0,0.4686310291290283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09720385819673538,0.09639954566955566,1.1012307405471802,0.012423229403793812,0.9048380255699158,1.1051709651947021,0.9992973804473877,0.016498226672410965,8.816082954406738,6.260176658630371,1119.800096988678,88,PASS
baseline,internal_fold,3,7,0.7457187337830825,0.5833738322969955,0.6966292134831461,0.6956408925791385,25.0,46.0,nan,nan,nan,0.45753178000450134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,402.1156008243561,88,PASS
dsls,internal_fold,3,7,0.7457187337830825,0.5833738295636248,0.6966292134831461,0.6956408925791385,25.0,46.0,0.0,nan,nan,0.45753180980682373,781.8546752929688,667.6241455078125,576.086181640625,0.047117047011852264,0.3365596830844879,1.3487167358398438,4.051360917856073e-07,0.9999834895133972,0.019115714728832247,1.7438338994979858,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,402.1156008243561,88,PASS
csda,internal_fold,3,7,0.7394914374675663,0.5934311855306545,0.6881720430107526,0.6696938245978205,25.0,46.0,nan,94.0,nan,0.4756961762905121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,206768.0,0.05516143888235092,0.06612514704465866,-0.04460602253675461,0.31750741600990295,0.0013613165356218815,8.012627601623535,0.6038367748260498,0.15453675389289856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,402.1156008243561,88,PASS
icdm,internal_fold,3,7,0.7457187337830825,0.5833738295636248,0.6966292134831461,0.6956408925791385,25.0,46.0,nan,nan,0.0,0.45753180980682373,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.564017295837402,0.0,402.1156008243561,88,PASS
