method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,threshold_hc,n_experts,temperature,hc_centroid_norm,pca_unit_norm,pca_singular_value,sigma_margin,sigma_projection,symmetry_ratio,symmetry_scale,initial_delta_l2,expert_1_mean_mass,expert_2_mean_mass,expert_1_hard_fraction,expert_2_hard_fraction,responsibility_entropy,delta_weight_1_l2,delta_weight_2_l2,delta_weight_cosine,delta_bias_1,delta_bias_2,task_seconds,n_test,status
control_referenced_soft_multiboundary,internal_oof,6,all,0.7100178013983127,0.6271140197589455,0.6599552572706935,0.6568096798328216,27.3,34.8,0.8,nan,2.0,1.0,25.406528282165528,1.0,145.68574981689454,1.4282176315784454,7.281110668182373,0.009999999999999998,0.0019582855864427985,0.0027694341028109194,0.5007075518369675,0.4992924392223358,0.49599405825138093,0.5040059298276901,0.6930386900901795,0.01210642799269408,0.012118298909626901,-0.40633822083473203,-2.7306980700814166e-05,-2.7366463837097398e-05,208.37330605983735,882,PASS
baseline,caltech,6,external,0.6871345029239767,0.6363687465435415,0.6500000000000001,0.6198830409356726,31.0,28.0,nan,0.5143882036209106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,368.7533802986145,37,PASS
baseline,abide2,6,external,0.7334152334152335,0.6089560422665768,0.7321637426900585,0.6735833845208845,31.0,28.0,nan,0.5143882036209106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,368.7533802986145,727,PASS
control_referenced_soft_multiboundary,caltech,6,external,0.6871345029239767,0.6363647549572461,0.6500000000000001,0.6198830409356726,31.0,28.0,0.0,0.5143871903419495,2.0,1.0,23.61901092529297,1.0,145.23487854003906,1.1447519063949585,6.126363277435303,0.01,0.0018685668474063277,0.00264255260117352,0.5017621517181396,0.49823787808418274,0.6116015315055847,0.38839849829673767,0.6930875182151794,0.0018685668474063277,0.0018685668474063277,-1.0,0.0,0.0,368.7533767223358,37,PASS
control_referenced_soft_multiboundary,abide2,6,external,0.7334113943488944,0.6089564440808594,0.7321637426900585,0.6735833845208845,31.0,28.0,0.0,0.5143871903419495,2.0,1.0,23.61901092529297,1.0,145.23487854003906,1.1447519063949585,6.126363277435303,0.01,0.0018685668474063277,0.00264255260117352,0.5017621517181396,0.49823787808418274,0.6116015315055847,0.38839849829673767,0.6930875182151794,0.0018685668474063277,0.0018685668474063277,-1.0,0.0,0.0,368.7533767223358,727,PASS
baseline,internal_fold,7,0,0.7137791286727457,0.6281431363220848,0.6436781609195402,0.6550151975683891,40.0,38.0,nan,0.4127776026725769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,252.1371774673462,89,PASS
control_referenced_soft_multiboundary,internal_fold,7,0,0.7137791286727457,0.6281367017602919,0.6436781609195402,0.6550151975683891,40.0,38.0,0.0,0.4127064645290375,2.0,1.0,24.254423141479492,1.0,132.24105834960938,1.5316836833953857,5.805820465087891,0.01,0.002638186328113079,0.0037309592589735985,0.5027297735214233,0.49727022647857666,0.642433226108551,0.357566773891449,0.6930292844772339,0.0026381865609437227,0.0026381865609437227,-0.9999998807907104,0.0,0.0,252.1371729373932,89,PASS
baseline,internal_fold,7,1,0.8206686930091185,0.5252184324790491,0.6818181818181819,0.6881965552178319,35.0,42.0,nan,0.4279721677303314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,306.87276458740234,89,PASS
control_referenced_soft_multiboundary,internal_fold,7,1,0.8206686930091185,0.5252148797321051,0.6818181818181819,0.6881965552178319,35.0,42.0,0.0,0.4279707372188568,2.0,1.0,23.468814849853516,1.0,156.28907775878906,1.6026817560195923,7.880168914794922,0.01,0.0020338164176791906,0.0028762510046362877,0.5013530850410461,0.49864691495895386,0.4540059268474579,0.5459940433502197,0.6930381655693054,0.0020338164176791906,0.0020338164176791906,-1.0000001192092896,0.0,0.0,306.87276101112366,89,PASS
baseline,internal_fold,7,2,0.7116977225672878,0.622082790688193,0.702127659574468,0.6801242236024845,42.0,36.0,nan,0.48002058267593384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,433.7556343078613,88,PASS
