method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_crsm_epoch,selected_snde_epoch,threshold_hc,crsm_n_experts,crsm_temperature,crsm_hc_centroid_norm,crsm_pca_unit_norm,crsm_pca_singular_value,crsm_sigma_margin,crsm_sigma_projection,crsm_symmetry_ratio,crsm_symmetry_scale,crsm_initial_delta_l2,crsm_asd_mass1,crsm_asd_mass2,crsm_asd_entropy,crsm_hc_mass1,crsm_hc_mass2,crsm_hc_entropy,crsm_delta1_l2,crsm_delta2_l2,crsm_delta_cosine,crsm_delta_bias1,crsm_delta_bias2,snde_asd_score_mean,snde_asd_score_std,snde_asd_positive_fraction,snde_asd_negative_fraction,snde_asd_generalist_fraction,snde_asd_mean_abs_correction,snde_hc_score_mean,snde_hc_score_std,snde_hc_positive_fraction,snde_hc_negative_fraction,snde_hc_generalist_fraction,snde_hc_mean_abs_correction,snde_w_pos_l2,snde_w_neg_l2,snde_b_pos,snde_b_neg,snde_positive_weight_l2,snde_negative_weight_l2,snde_parameter_l2,snde_mean_abs_correction,snde_mean_abs_positive_correction,snde_mean_abs_negative_correction,snde_pc1_explained_variance_fraction,snde_pc1_explained_fraction,snde_std_floor,snde_hc_reference_score_mean,snde_hc_reference_score_std,task_seconds,n_test,status
baseline,internal_fold,3,9,0.6419304618578101,0.6722589100674665,0.6021505376344086,0.5783601453035807,11.0,32.0,nan,nan,0.47389841079711914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.1602928638458,88,PASS
crsm_corrected,internal_fold,3,9,0.6419304618578101,0.6722589104254816,0.6021505376344086,0.5783601453035807,11.0,32.0,0.0,nan,0.47389838099479675,2.0,1.0,26.86922264099121,1.0,140.57437133789062,1.4419095516204834,7.41981840133667,0.01,0.0019433218985795975,0.0027482721488922834,0.5,0.5,0.6931472420692444,0.5,0.5,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,279.1602928638458,88,PASS
selective_normative_deviation_experts,internal_fold,3,9,0.6372599896211728,0.676738462944818,0.6185567010309279,0.5752464971458225,11.0,32.0,nan,1.0,0.49722903966903687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.2453070878982544,1.2976138591766357,0.005602241028100252,0.14565826952457428,0.848739504814148,0.023832278326153755,1.2033745555584119e-08,1.0,0.0,0.08832807838916779,0.9116719365119934,0.037005677819252014,0.01958450675010681,0.019595840945839882,0.0009998639579862356,0.0009999963222071528,0.01958450675010681,0.019595840945839882,0.027740757912397385,0.030028074979782104,0.00030285940738394856,0.029725216329097748,0.1966671198606491,0.1966671198606491,0.0013626946602016687,5.114342016554474e-08,7.281235218048096,279.1602928638458,88,PASS
baseline,internal_oof,3,all,0.7395887618998478,0.5982258538888018,0.6719101123595506,0.6707308892959418,32.3,42.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,296.0479740142822,882,PASS
crsm_corrected,internal_oof,3,all,0.7395887618998478,0.5982258545659072,0.6719101123595506,0.6707308892959418,32.3,42.2,0.0,nan,nan,2.0,1.0,23.695348167419432,0.9999999940395355,148.3334487915039,1.622622287273407,7.5776440620422365,0.009999999999999998,0.002162485010921955,0.003058215789496899,0.5,0.5,0.6931472420692444,0.5,0.5,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,296.0479740142822,882,PASS
selective_normative_deviation_experts,internal_oof,3,all,0.7377467041613994,0.6481660819296118,0.6755852842809364,0.6713990867108692,32.3,42.2,nan,36.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.023186855018138885,1.2891326546669006,0.0624649876030162,0.06862745368853211,0.8689075708389282,0.18348112404346467,-1.4290073346856503e-09,0.9999999821186065,0.04668769813142717,0.047634069714695214,0.9056782424449921,0.10638277009129524,0.29538389928638936,0.3478972094133496,-0.007098830887116492,0.004035502517945133,0.29538389928638936,0.3478972094133496,0.5001019760966301,0.14721972811967135,0.09558917793765431,0.0516305444543832,0.21199435889720916,0.21199435889720916,0.0012688372866250575,6.317716838566412e-09,7.575057601928711,296.0479740142822,882,PASS
baseline,caltech,3,external,0.6257309941520468,0.6752346147682441,0.5714285714285715,0.5102339181286549,8.0,61.0,nan,nan,0.5585113167762756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,362.1257281303406,37,PASS
crsm_corrected,caltech,3,external,0.6257309941520468,0.6751918101375932,0.5714285714285715,0.5102339181286549,8.0,61.0,1.0,nan,0.5542958378791809,2.0,1.0,27.875741958618164,0.9999999403953552,147.7460174560547,1.8693501949310303,6.778748512268066,0.01,0.0027576626744121313,0.0038999237585812807,0.5035176277160645,0.4964824318885803,0.6929286122322083,0.4999997019767761,0.5000002980232239,0.6930533051490784,0.014236810617148876,0.013477127999067307,0.8923946619033813,-4.9999176553683355e-05,-4.999936209060252e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,362.1257281303406,37,PASS
selective_normative_deviation_experts,caltech,3,external,0.6695906432748538,0.6329767737070087,0.6046511627906976,0.5365497076023392,8.0,61.0,nan,9.0,0.5585553646087646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.30436065793037415,1.3618626594543457,0.0023809524718672037,0.15714286267757416,0.8404762148857117,0.15144012868404388,6.391918994097523e-09,1.0,0.01876675710082054,0.10187667608261108,0.8793566226959229,0.08522558212280273,0.12422429025173187,0.09863479435443878,-0.007010174915194511,0.0010664064902812243,0.12422429025173187,0.09863479435443878,0.15877902507781982,0.12029507011175156,0.013430697843432426,0.10686436295509338,0.19604556262493134,0.19604556262493134,0.001225793152116239,1.0227070390556037e-07,6.8328447341918945,362.1257281303406,37,PASS
baseline,abide2,3,external,0.7388590294840295,0.5984089066475315,0.7393258426966292,0.6635519041769042,8.0,61.0,nan,nan,0.5585113167762756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,362.1257281303406,727,PASS
