representation,scope,repeat,fold,n_subjects,disease_axis_auc,disease_geometry_gap,fingerprint_n,fingerprint_top1,fingerprint_top5,fingerprint_mrr,fingerprint_same_similarity,fingerprint_different_similarity,fingerprint_identity_gap,within_site_top1,within_site_same_dx_top1,topedge_sign_agreement,topedge_spearman,topedge_cosine,roi_signed_spearman,roi_absburden_spearman,selected_encoder_epoch,task_seconds,status
varconet_selected,internal_fold,0,5,88,0.6995329527763363,0.0024585463018601816,88,1.0,1.0,1.0,0.3986423491415652,0.09934811750592328,0.29929423163564195,1.0,1.0,nan,nan,nan,nan,nan,29.0,193.69168972969055,PASS
varconet_epoch50,internal_fold,0,5,88,0.7026466009340944,0.002432769080376651,88,1.0,1.0,1.0,0.3975190320475535,0.09645437615300269,0.30106465589455084,1.0,1.0,nan,nan,nan,nan,nan,50.0,193.69168972969055,PASS
pearson_windowavg,internal_fold,0,6,88,0.5111572392319668,0.010664539007704366,88,0.875,0.9545454545454546,0.9135958432484801,0.4365789739584381,0.17007577862988782,0.26650319532855027,0.8818181818181818,0.9078947368421053,nan,nan,nan,nan,nan,nan,193.54248094558716,PASS
pearson_full,internal_fold,0,6,88,0.5111572392319668,0.010664539007704366,88,0.875,0.9545454545454546,0.9135958432484801,0.4365789739584381,0.17007577862988782,0.26650319532855027,0.8818181818181818,0.9078947368421053,nan,nan,nan,nan,nan,nan,193.54248094558716,PASS
varconet_selected,internal_fold,0,6,88,0.6803321224701608,0.006174633025160137,88,1.0,1.0,1.0,0.3542957693677057,0.09759507589044619,0.2567006934772595,1.0,1.0,nan,nan,nan,nan,nan,50.0,193.54248094558716,PASS
varconet_epoch50,internal_fold,0,6,88,0.6803321224701608,0.006174633025160137,88,1.0,1.0,1.0,0.3542957693677057,0.09759507589044619,0.2567006934772595,1.0,1.0,nan,nan,nan,nan,nan,50.0,193.54248094558716,PASS
pearson_windowavg,internal_fold,0,7,88,0.561494551115724,0.003573934112881927,88,0.8806818181818181,0.9545454545454546,0.9135189565336624,0.4323864218524911,0.16277496315394893,0.26961145869854214,0.911764705882353,0.9125000000000001,nan,nan,nan,nan,nan,nan,192.9815821647644,PASS
pearson_full,internal_fold,0,7,88,0.561494551115724,0.003573934112881927,88,0.8806818181818181,0.9545454545454546,0.9135189565336624,0.4323864218524911,0.16277496315394893,0.26961145869854214,0.911764705882353,0.9125000000000001,nan,nan,nan,nan,nan,nan,192.9815821647644,PASS
varconet_selected,internal_fold,0,7,88,0.6901920083030618,0.0048809778634385514,88,0.9715909090909092,0.9943181818181819,0.9807542335115865,0.4000389167869633,0.18303667659123884,0.21700224019572445,0.9852941176470589,0.975,nan,nan,nan,nan,nan,3.0,192.9815821647644,PASS
varconet_epoch50,internal_fold,0,7,88,0.6995329527763363,0.003501135714203907,88,1.0,1.0,1.0,0.3580180238932371,0.09867548837658317,0.2593425355166539,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.9815821647644,PASS
pearson_windowavg,internal_fold,0,8,88,0.5889984431759211,0.006999968226336306,88,0.9090909090909091,0.9715909090909092,0.9362610479797979,0.44334678241813724,0.16620322940476379,0.27714355301337346,0.9272727272727272,0.8970588235294117,nan,nan,nan,nan,nan,nan,192.68441367149353,PASS
pearson_full,internal_fold,0,8,88,0.5889984431759211,0.006999968226336306,88,0.9090909090909091,0.9715909090909092,0.9362610479797979,0.44334678241813724,0.16620322940476379,0.27714355301337346,0.9272727272727272,0.8970588235294117,nan,nan,nan,nan,nan,nan,192.68441367149353,PASS
varconet_selected,internal_fold,0,8,88,0.7457187337830825,0.0027238748535420854,88,0.9886363636363636,1.0,0.9943181818181819,0.3590843728320165,0.10990283097619291,0.24918154185582359,1.0,1.0,nan,nan,nan,nan,nan,11.0,192.68441367149353,PASS
varconet_epoch50,internal_fold,0,8,88,0.7477944992215879,0.002330713934910744,88,0.9943181818181819,1.0,0.9971590909090908,0.34516199864447117,0.08586284015223077,0.2592991584922404,1.0,1.0,nan,nan,nan,nan,nan,50.0,192.68441367149353,PASS
pearson_windowavg,internal_fold,0,9,88,0.5884795018162948,0.0010960210181341912,88,0.9034090909090908,0.9772727272727273,0.9312725468975469,0.45337685637853364,0.1645449611394367,0.2888318952390969,0.9098360655737705,0.9285714285714286,nan,nan,nan,nan,nan,nan,194.34456157684326,PASS
pearson_full,internal_fold,0,9,88,0.5884795018162948,0.0010960210181341912,88,0.9034090909090908,0.9772727272727273,0.9312725468975469,0.45337685637853364,0.1645449611394367,0.2888318952390969,0.9098360655737705,0.9285714285714286,nan,nan,nan,nan,nan,nan,194.34456157684326,PASS
varconet_selected,internal_fold,0,9,88,0.6190970420342501,0.003717452185550141,88,0.9772727272727273,1.0,0.987689393939394,0.39815203235907987,0.1538760563981006,0.24427597596097927,1.0,1.0,nan,nan,nan,nan,nan,6.0,194.34456157684326,PASS
varconet_epoch50,internal_fold,0,9,88,0.6144265697976128,0.0024532287873015868,88,0.9943181818181819,1.0,0.9971590909090908,0.35255386849695985,0.09660652227035083,0.25594734622660903,1.0,1.0,nan,nan,nan,nan,nan,50.0,194.34456157684326,PASS
pearson_windowavg,caltech,0,external,37,0.6257309941520468,nan,37,0.9864864864864865,1.0,0.9898648648648649,0.5995065215471629,0.15736228786706058,0.4421442336801023,0.9864864864864865,1.0,0.9469387755102041,0.40963515663343886,0.860280486453484,nan,nan,nan,221.51993250846863,PASS
pearson_windowavg,abide2,0,external,727,0.5705773955773956,0.0029242301426514183,589,0.8582342954159592,0.9363327674023769,0.8936139781284542,0.48787537709207407,0.1813152166561801,0.30656016043589396,0.903061224489796,0.9203767123287672,0.9469387755102041,0.40963515663343886,0.860280486453484,0.5563977145569835,0.17217413787257133,nan,221.51993250846863,PASS
pearson_full,caltech,0,external,37,0.6257309941520468,nan,37,0.9864864864864865,1.0,0.9898648648648649,0.5995065215471629,0.15736228786706058,0.4421442336801023,0.9864864864864865,1.0,nan,nan,nan,nan,nan,nan,221.51993250846863,PASS
pearson_full,abide2,0,external,727,0.5705773955773956,0.0029242301426514183,589,0.8582342954159592,0.9363327674023769,0.8936139781284542,0.48787537709207407,0.1813152166561801,0.30656016043589396,0.903061224489796,0.9203767123287672,nan,nan,nan,nan,nan,nan,221.51993250846863,PASS
varconet_selected,caltech,0,external,37,0.6842105263157895,nan,37,1.0,1.0,1.0,0.5066823339140093,0.1295963348457226,0.3770859990682867,1.0,1.0,0.9175510204081633,0.7422549336641507,0.8164743708280959,nan,nan,7.0,221.51993250846863,PASS
varconet_selected,abide2,0,external,727,0.6774570024570025,0.0010119522504553613,589,0.9864176570458404,0.9966044142614601,0.990925309003058,0.42756340504704593,0.15018810815266037,0.27737529689438556,0.9940476190476191,0.9957191780821918,0.9175510204081633,0.7422549336641507,0.8164743708280959,0.5254382057237802,0.5172236445017124,7.0,221.51993250846863,PASS
varconet_epoch50,caltech,0,external,37,0.7631578947368421,nan,37,1.0,1.0,1.0,0.48908492520048813,0.09818395573782872,0.3909009694626594,1.0,1.0,nan,nan,nan,nan,nan,50.0,221.51993250846863,PASS
varconet_epoch50,abide2,0,external,727,0.6894809582309582,0.0008557183171166438,589,0.9966044142614601,1.0,0.9976513865308432,0.39155244609698375,0.09877463791833448,0.2927778081786493,0.9982993197278911,0.9991438356164384,nan,nan,nan,nan,nan,50.0,221.51993250846863,PASS
