repeat,epoch,is_selected,scope,fingerprint_top1,identity_gap,disease_axis_auc,disease_geometry_gap,split_half_disease_cosine,n_identity_subjects,n_disease_subjects,status
2,1,False,abide2,0.9431239388794568,0.24230221284016296,0.6644579238329238,nan,nan,589,727,PASS
2,5,False,internal_train,nan,nan,nan,0.003745294505085872,0.3942971883714199,0,882,PASS
2,5,False,caltech,nan,nan,0.7076023391812866,nan,nan,0,37,PASS
2,5,False,abide2,0.9745331069609507,0.26503341479883347,0.669840294840295,nan,nan,589,727,PASS
2,10,False,internal_train,nan,nan,nan,0.0030879781615587854,0.3512948048114777,0,882,PASS
2,10,False,caltech,nan,nan,0.6988304093567252,nan,nan,0,37,PASS
2,10,False,abide2,0.9940577249575552,0.27843249230785216,0.6747773341523342,nan,nan,589,727,PASS
2,20,False,internal_train,nan,nan,nan,0.002872404341084017,0.3309676076471806,0,882,PASS
2,20,False,caltech,nan,nan,0.7339181286549709,nan,nan,0,37,PASS
2,20,False,abide2,0.997453310696095,0.28522995210832214,0.6810810810810811,nan,nan,589,727,PASS
2,30,False,internal_train,nan,nan,nan,0.0028179789337767214,0.32585969209671023,0,882,PASS
2,30,False,caltech,nan,nan,0.7426900584795323,nan,nan,0,37,PASS
2,30,False,abide2,0.997453310696095,0.28827195976048847,0.6844748157248157,nan,nan,589,727,PASS
2,40,False,internal_train,nan,nan,nan,0.0028004715656243517,0.322920348495245,0,882,PASS
2,40,False,caltech,nan,nan,0.7485380116959065,nan,nan,0,37,PASS
2,40,False,abide2,0.9966044142614601,0.2899947396972772,0.6840064496314496,nan,nan,589,727,PASS
2,50,False,internal_train,nan,nan,nan,0.002801019995548687,0.32262971565127374,0,882,PASS
2,50,False,caltech,nan,nan,0.7485380116959065,nan,nan,0,37,PASS
2,50,False,abide2,0.997453310696095,0.2905026801071968,0.6841062653562654,nan,nan,589,727,PASS
2,38,True,internal_train,nan,nan,nan,0.002807827182473105,0.3237763173878193,0,882,PASS
2,38,True,caltech,nan,nan,0.7456140350877193,nan,nan,0,37,PASS
2,38,True,abide2,0.997453310696095,0.2898123455037258,0.6836609336609337,nan,nan,589,727,PASS
3,0,False,internal_train,nan,nan,nan,0.0032403450547056623,0.40981738895177844,0,882,PASS
3,0,False,caltech,nan,nan,0.6345029239766082,nan,nan,0,37,PASS
3,0,False,abide2,0.9524617996604414,0.23487284538583467,0.6552748771498772,nan,nan,589,727,PASS
3,1,False,internal_train,nan,nan,nan,0.003468437248764389,0.40942813217639923,0,882,PASS
3,1,False,caltech,nan,nan,0.6432748538011696,nan,nan,0,37,PASS
3,1,False,abide2,0.9584040747028862,0.24510251299236407,0.6546606265356266,nan,nan,589,727,PASS
3,5,False,internal_train,nan,nan,nan,0.003474546705800885,0.386956999450922,0,882,PASS
3,5,False,caltech,nan,nan,0.6549707602339181,nan,nan,0,37,PASS
3,5,False,abide2,0.9779286926994907,0.2651495057873614,0.6608645577395578,nan,nan,589,727,PASS
3,10,False,internal_train,nan,nan,nan,0.00308002395113835,0.3534515729546547,0,882,PASS
3,10,False,caltech,nan,nan,0.6754385964912281,nan,nan,0,37,PASS
3,10,False,abide2,0.9923599320882852,0.276072143058287,0.6729422604422605,nan,nan,589,727,PASS
3,20,False,internal_train,nan,nan,nan,0.0029376847438175313,0.33831811651587484,0,882,PASS
3,20,False,caltech,nan,nan,0.7280701754385966,nan,nan,0,37,PASS
3,20,False,abide2,0.9957555178268251,0.283034224096558,0.6813344594594595,nan,nan,589,727,PASS
3,30,False,internal_train,nan,nan,nan,0.002838900542202538,0.3319678729772568,0,882,PASS
3,30,False,caltech,nan,nan,0.7339181286549709,nan,nan,0,37,PASS
3,30,False,abide2,0.9940577249575552,0.28631434168325387,0.6841216216216216,nan,nan,589,727,PASS
3,40,False,internal_train,nan,nan,nan,0.0028398410125832496,0.33390349134802816,0,882,PASS
3,40,False,caltech,nan,nan,0.7485380116959065,nan,nan,0,37,PASS
3,40,False,abide2,0.9949066213921902,0.2880152026764994,0.6845055282555282,nan,nan,589,727,PASS
3,50,True,internal_train,nan,nan,nan,0.002834707579247836,0.33308362677693365,0,882,PASS
3,50,True,caltech,nan,nan,0.7485380116959064,nan,nan,0,37,PASS
3,50,True,abide2,0.9949066213921902,0.2883240816258015,0.6841676904176903,nan,nan,589,727,PASS
4,0,False,internal_train,nan,nan,nan,0.004012623757782496,0.42034101009368896,0,882,PASS
4,0,False,caltech,nan,nan,0.6842105263157895,nan,nan,0,37,PASS
4,0,False,abide2,0.9617996604414262,0.2600477333629848,0.6602963759213759,nan,nan,589,727,PASS
