method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,selected_classifier_epoch,selected_residual_epoch,threshold_hc,dynamic_dim,window_tokens,min_valid_tokens,mean_valid_tokens,min_windows,mean_windows,max_windows,mean_node_switch,mean_node_deviation,n_test,status
baseline,internal_fold,0,7,0.7244421380384017,0.6171382801742759,0.6981132075471698,0.6253243383497665,44.0,44.0,nan,0.5990033149719238,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,7,0.7259989621172808,0.6175078485574684,0.6981132075471698,0.6253243383497665,44.0,44.0,6.0,0.5897473096847534,774.0,15.0,93.53866666666667,121.74400022379557,5.658666666666667,7.4093333524068195,9.488,0.3575328466097514,0.24582096032301584,88,PASS
baseline,internal_fold,0,8,0.772184743124027,0.5793151829181015,0.7422680412371133,0.7122470160871821,47.0,35.0,nan,0.4791738986968994,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,8,0.7711468604047742,0.5797775914015669,0.7142857142857143,0.7337830825116762,47.0,35.0,4.0,0.3998986482620239,774.0,15.0,93.53866666666667,121.3800000406901,5.658666666666667,7.378666678110759,9.488,0.3702246873378754,0.2571552472114563,88,PASS
baseline,internal_fold,0,9,0.6600934094447327,0.6658131242875758,0.6136363636363638,0.6165023352361183,21.0,52.0,nan,0.4364883601665497,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,0,9,0.6637259989621173,0.6594133023564527,0.4999999999999999,0.580176440062273,21.0,52.0,60.0,0.34905728697776794,774.0,15.0,93.53866666666667,121.54533337402344,5.658666666666667,7.396000011444092,9.488,0.359088147242864,0.24770416673024495,88,PASS
baseline,internal_oof,0,all,0.7211165862593845,0.6166497912246195,0.6615720524017468,0.648507520445809,33.5,39.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,882,PASS
stable_dynamic_residual,internal_oof,0,all,0.7103531900621758,0.624763728037099,0.6645161290322581,0.6452929490983205,34.4,40.2,61.2,nan,774.0,15.0,93.53866666666667,121.58480014444986,5.658666666666667,7.39653334681193,9.488,0.36115663608709975,0.2496441200176875,882,PASS
baseline,caltech,0,external,0.7485380116959064,0.5869514789737384,0.6060606060606061,0.652046783625731,1.0,37.0,nan,0.371360182762146,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,PASS
baseline,abide2,0,external,0.7212187964539062,0.6119981066218463,0.5945945945945945,0.6476319579767855,1.0,37.0,nan,0.371360182762146,nan,nan,nan,nan,nan,nan,nan,nan,nan,726,PASS
stable_dynamic_residual,caltech,0,external,0.7222222222222222,0.5986936264534103,0.5882352941176471,0.6242690058479532,1.0,37.0,21.0,0.38826876878738403,774.0,15.0,94.28653624856156,122.63981626662067,5.7054085155350975,7.463751454347845,9.558112773302646,0.35753063434012605,0.24653308866899223,37,PASS
stable_dynamic_residual,abide2,0,external,0.7101045188819484,0.6269344820680544,0.5564142194744978,0.6270863339828857,1.0,37.0,21.0,0.38826876878738403,774.0,15.0,94.28653624856156,122.63981626662067,5.7054085155350975,7.463751454347845,9.558112773302646,0.35753063434012605,0.24653308866899223,726,PASS
baseline,internal_fold,1,0,0.7689969604863222,0.5851547162497089,0.6444444444444444,0.6418439716312057,30.0,17.0,nan,0.4790838658809662,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,1,0,0.720871327254306,0.6193860062101253,0.6222222222222222,0.6193009118541033,30.0,17.0,139.0,0.46093180775642395,774.0,15.0,93.53866666666667,121.39600030517578,5.658666666666667,7.378666670481364,9.488,0.35679173906644185,0.24721134877204895,89,PASS
baseline,internal_fold,1,1,0.8252279635258359,0.5551326504735762,0.6111111111111112,0.6983282674772037,49.0,22.0,nan,0.368239164352417,nan,nan,nan,nan,nan,nan,nan,nan,nan,89,PASS
stable_dynamic_residual,internal_fold,1,1,0.8009118541033434,0.5692217596813428,0.6987951807228916,0.725177304964539,16.0,25.0,149.0,0.42343491315841675,774.0,15.0,93.53866666666667,121.44666687011718,5.658666666666667,7.389333329518636,9.488,0.3624688554604848,0.2506840765476227,89,PASS
baseline,internal_fold,1,2,0.767080745341615,0.5832336786122135,0.688888888888889,0.6821946169772257,10.0,89.0,nan,0.46658116579055786,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,1,2,0.7908902691511387,0.5611858458525806,0.7307692307692308,0.6749482401656315,10.0,89.0,149.0,0.5775265693664551,774.0,15.0,93.53866666666667,121.60799987792969,5.658666666666667,7.398666676839193,9.488,0.353629762172699,0.24290955913066864,88,PASS
baseline,internal_fold,1,3,0.7127329192546584,0.6179504097537073,0.6981132075471699,0.6283643892339544,48.0,41.0,nan,0.504424512386322,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,1,3,0.7230848861283644,0.6127042967894893,0.6590909090909092,0.660455486542443,22.0,37.0,55.0,0.40876761078834534,774.0,15.0,93.53866666666667,121.45066687011719,5.658666666666667,7.386666685740153,9.488,0.3552972697416941,0.24452541355292,88,PASS
baseline,internal_fold,1,4,0.6428571428571429,0.6825225055397677,0.6607142857142857,0.556935817805383,42.0,31.0,nan,0.630062460899353,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,1,4,0.6640786749482402,0.6570857311507443,0.5842696629213482,0.5802277432712215,42.0,31.0,149.0,0.5121573209762573,774.0,15.0,93.53866666666667,121.62133369954427,5.658666666666667,7.401333356221517,9.488,0.35735539690653484,0.24582743867238363,88,PASS
baseline,internal_fold,1,5,0.7016087182148417,0.6292852803122958,0.6938775510204082,0.6543850544888428,43.0,49.0,nan,0.4940984547138214,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,PASS
stable_dynamic_residual,internal_fold,1,5,0.7016087182148417,0.6292852803122958,0.6938775510204082,0.6543850544888428,43.0,49.0,0.0,0.4940984547138214,774.0,15.0,93.53866666666667,121.63866697184245,5.658666666666667,7.401333330790202,9.488,0.3609929390748342,0.24854238327344258,88,PASS
