method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
treatment,internal_oof,0,all,0.6973349500786873,0.6345336361040139,0.6306306306306306,0.6299063491653982,22.8,nan,0.08613381007360295,0.9770095194081463,6.0,8.329666666666668,12.488333333333333,882,PASS
baseline,internal_fold,1,0,0.7532928064842958,0.5818325313602287,0.625,0.6707193515704154,29.0,0.38927799463272095,0.05105191567679867,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,1,0,0.761904761904762,0.6023162502158829,0.641025641025641,0.6945288753799392,29.0,0.4116271734237671,0.08356393981569757,0.9804417469104131,6.0,8.371666666666666,12.375,89,PASS
baseline,internal_fold,1,1,0.8004052684903749,0.5596026849199799,0.7572815533980581,0.7125126646403241,40.0,0.5134246945381165,0.05169707388539488,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,1,1,0.7750759878419453,0.560364953006151,0.7021276595744681,0.6843971631205674,40.0,0.5040405988693237,0.08149881035399933,0.9212029937903087,6.0,8.191666666666666,12.798333333333334,89,PASS
baseline,internal_fold,1,2,0.7675983436853002,0.5785241760659122,0.723404255319149,0.7028985507246377,10.0,0.4951806962490082,0.048996929877903314,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,1,2,0.7748447204968945,0.5789951296556485,0.7073170731707318,0.7318840579710145,5.0,0.3903343081474304,0.07560832247758906,0.9693556749820709,6.0,8.246666666666666,12.508333333333333,88,PASS
baseline,internal_fold,1,3,0.7210144927536232,0.6129545237203053,0.7155963302752294,0.6381987577639752,28.0,0.4907708168029785,0.05643044857463489,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,1,3,0.6625258799171843,0.648436653300344,0.6846846846846848,0.5916149068322981,22.0,0.5266038775444031,0.0813419518697386,0.9861739282806714,6.0,8.066666666666666,12.679166666666667,88,PASS
baseline,internal_fold,1,4,0.6392339544513458,0.6836508434608541,0.6391752577319587,0.5988612836438924,42.0,0.5221139192581177,0.2297086560803776,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,1,4,0.5377846790890269,0.691653578785467,0.6037735849056605,0.5144927536231884,4.0,0.5090057849884033,0.24236551183275878,0.9729087475935618,6.0,8.2075,12.813333333333333,88,PASS
baseline,internal_fold,1,5,0.6850025947067981,0.6415944722914897,0.6530612244897959,0.608718214841723,38.0,0.5050632357597351,0.05582232339307666,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,1,5,0.7223663725998963,0.6277470596538236,0.6744186046511628,0.6865594187856772,9.0,0.41249197721481323,0.08118216732672105,0.9778118165334065,6.0,8.274166666666666,12.500833333333333,88,PASS
baseline,internal_fold,1,6,0.7057602490918526,0.6083686300437615,0.4722222222222222,0.5832900882200311,37.0,0.3595024049282074,0.05006359089476367,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,1,6,0.7275557861961599,0.6211915797588995,0.5405405405405406,0.6274001037882719,46.0,0.35520750284194946,0.07983990224078298,0.9187307224671046,6.0,8.225833333333334,12.63,88,PASS
baseline,internal_fold,1,7,0.7016087182148417,0.6427767272449478,0.46376811594202894,0.5970420342501297,49.0,0.407983660697937,0.0582616634775574,nan,0.0,nan,nan,88,PASS
